,start,end,duration,timedelta,seconds
0,2024-01-02 12:00:00+00:00,2024-01-02 13:02:47+00:00,3767.0,0 days 00:00:00,0.0
1,2024-01-02 13:02:51+00:00,2024-01-02 14:36:50+00:00,5639.0,0 days 01:02:51,3771.0
2,2024-01-02 14:37:32+00:00,2024-01-02 16:10:20+00:00,5568.0,0 days 02:37:32,9452.0
3,2024-01-02 16:11:05+00:00,2024-01-02 17:43:02+00:00,5517.0,0 days 04:11:05,15065.0
4,2024-01-02 17:53:52+00:00,2024-01-02 18:42:00+00:00,2888.0,0 days 05:53:52,21232.0
5,2024-01-02 18:42:27+00:00,2024-01-02 19:18:29+00:00,2162.0,0 days 06:42:27,24147.0
6,2024-01-02 19:27:57+00:00,2024-01-02 20:53:34+00:00,5137.0,0 days 07:27:57,26877.0
7,2024-01-02 21:03:27+00:00,2024-01-02 22:27:02+00:00,5015.0,0 days 09:03:27,32607.0
8,2024-01-02 22:37:00+00:00,2024-01-03 00:01:21+00:00,5061.0,0 days 10:37:00,38220.0
9,2024-01-03 00:09:01+00:00,2024-01-03 01:36:23+00:00,5242.0,0 days 12:09:01,43741.0
10,2024-01-03 01:40:42+00:00,2024-01-03 01:42:19+00:00,97.0,0 days 13:40:42,49242.0
11,2024-01-03 01:43:45+00:00,2024-01-03 03:15:47+00:00,5522.0,0 days 13:43:45,49425.0
12,2024-01-03 03:17:21+00:00,2024-01-03 04:48:29+00:00,5468.0,0 days 15:17:21,55041.0
13,2024-01-03 04:49:44+00:00,2024-01-03 04:51:21+00:00,97.0,0 days 16:49:44,60584.0
14,2024-01-03 04:59:18+00:00,2024-01-03 06:23:56+00:00,5078.0,0 days 16:59:18,61158.0
15,2024-01-03 06:33:12+00:00,2024-01-03 07:58:57+00:00,5145.0,0 days 18:33:12,66792.0
16,2024-01-03 08:09:05+00:00,2024-01-03 08:56:59+00:00,2874.0,0 days 20:09:05,72545.0
17,2024-01-03 08:58:32+00:00,2024-01-03 09:33:00+00:00,2068.0,0 days 20:58:32,75512.0
18,2024-01-03 09:42:42+00:00,2024-01-03 10:30:29+00:00,2867.0,0 days 21:42:42,78162.0
19,2024-01-03 10:32:20+00:00,2024-01-03 11:05:39+00:00,1999.0,0 days 22:32:20,81140.0
20,2024-01-03 11:15:15+00:00,2024-01-03 12:00:00+00:00,2685.0,0 days 23:15:15,83715.0
21,2024-01-03 12:00:00+00:00,2024-01-03 12:40:39+00:00,2439.0,1 days 00:00:00,86400.0
22,2024-01-03 12:49:55+00:00,2024-01-03 14:21:16+00:00,5481.0,1 days 00:49:55,89395.0
23,2024-01-03 14:23:32+00:00,2024-01-03 15:53:55+00:00,5423.0,1 days 02:23:32,95012.0
24,2024-01-03 15:56:01+00:00,2024-01-03 17:29:24+00:00,5603.0,1 days 03:56:01,100561.0
25,2024-01-03 17:38:35+00:00,2024-01-03 19:04:21+00:00,5146.0,1 days 05:38:35,106715.0
26,2024-01-03 19:14:41+00:00,2024-01-03 20:03:14+00:00,2913.0,1 days 07:14:41,112481.0
27,2024-01-03 20:04:38+00:00,2024-01-03 20:38:22+00:00,2024.0,1 days 08:04:38,115478.0
28,2024-01-03 20:48:00+00:00,2024-01-03 21:36:13+00:00,2893.0,1 days 08:48:00,118080.0
29,2024-01-03 21:38:33+00:00,2024-01-03 22:11:56+00:00,2003.0,1 days 09:38:33,121113.0
30,2024-01-03 22:21:38+00:00,2024-01-03 23:46:30+00:00,5092.0,1 days 10:21:38,123698.0
31,2024-01-03 23:56:00+00:00,2024-01-04 01:20:04+00:00,5044.0,1 days 11:56:00,129360.0
32,2024-01-04 01:29:39+00:00,2024-01-04 02:59:22+00:00,5383.0,1 days 13:29:39,134979.0
33,2024-01-04 03:02:14+00:00,2024-01-04 04:34:52+00:00,5558.0,1 days 15:02:14,140534.0
34,2024-01-04 04:44:12+00:00,2024-01-04 06:11:48+00:00,5256.0,1 days 16:44:12,146652.0
35,2024-01-04 06:20:34+00:00,2024-01-04 07:10:04+00:00,2970.0,1 days 18:20:34,152434.0
36,2024-01-04 07:10:37+00:00,2024-01-04 07:45:35+00:00,2098.0,1 days 19:10:37,155437.0
37,2024-01-04 07:53:29+00:00,2024-01-04 08:42:20+00:00,2931.0,1 days 19:53:29,158009.0
38,2024-01-04 08:44:38+00:00,2024-01-04 09:17:18+00:00,1960.0,1 days 20:44:38,161078.0
39,2024-01-04 09:26:49+00:00,2024-01-04 10:52:36+00:00,5147.0,1 days 21:26:49,163609.0
40,2024-01-04 11:02:15+00:00,2024-01-04 11:50:03+00:00,2868.0,1 days 23:02:15,169335.0
41,2024-01-04 11:52:15+00:00,2024-01-04 12:00:00+00:00,465.0,1 days 23:52:15,172335.0
42,2024-01-04 12:00:00+00:00,2024-01-04 12:26:22+00:00,1582.0,2 days 00:00:00,172800.0
43,2024-01-04 12:36:02+00:00,2024-01-04 14:04:51+00:00,5329.0,2 days 00:36:02,174962.0
44,2024-01-04 14:08:22+00:00,2024-01-04 15:34:50+00:00,5188.0,2 days 02:08:22,180502.0
45,2024-01-04 15:38:09+00:00,2024-01-04 17:15:14+00:00,5825.0,2 days 03:38:09,185889.0
46,2024-01-04 17:15:20+00:00,2024-01-04 20:22:37+00:00,11237.0,2 days 05:15:20,191720.0
47,2024-01-04 20:22:42+00:00,2024-01-04 20:24:45+00:00,123.0,2 days 08:22:42,202962.0
48,2024-01-04 20:32:09+00:00,2024-01-04 21:57:50+00:00,5141.0,2 days 08:32:09,203529.0
49,2024-01-04 22:07:41+00:00,2024-01-04 22:55:58+00:00,2897.0,2 days 10:07:41,209261.0
50,2024-01-04 22:58:25+00:00,2024-01-04 23:32:03+00:00,2018.0,2 days 10:58:25,212305.0
51,2024-01-04 23:41:25+00:00,2024-01-05 00:29:55+00:00,2910.0,2 days 11:41:25,214885.0
52,2024-01-05 00:32:02+00:00,2024-01-05 01:04:53+00:00,1971.0,2 days 12:32:02,217922.0
53,2024-01-05 01:14:27+00:00,2024-01-05 02:39:09+00:00,5082.0,2 days 13:14:27,220467.0
54,2024-01-05 02:45:34+00:00,2024-01-05 04:14:25+00:00,5331.0,2 days 14:45:34,225934.0
55,2024-01-05 04:19:31+00:00,2024-01-05 04:20:06+00:00,35.0,2 days 16:19:31,231571.0
56,2024-01-05 04:21:31+00:00,2024-01-05 05:54:35+00:00,5584.0,2 days 16:21:31,231691.0
57,2024-01-05 05:55:11+00:00,2024-01-05 07:27:59+00:00,5568.0,2 days 17:55:11,237311.0
58,2024-01-05 07:29:00+00:00,2024-01-05 09:03:06+00:00,5646.0,2 days 19:29:00,242940.0
59,2024-01-05 09:13:19+00:00,2024-01-05 10:02:19+00:00,2940.0,2 days 21:13:19,249199.0
60,2024-01-05 10:04:26+00:00,2024-01-05 10:37:17+00:00,1971.0,2 days 22:04:26,252266.0
61,2024-01-05 10:46:46+00:00,2024-01-05 11:35:54+00:00,2948.0,2 days 22:46:46,254806.0
62,2024-01-05 11:38:08+00:00,2024-01-05 12:00:00+00:00,1312.0,2 days 23:38:08,257888.0
63,2024-01-05 12:00:00+00:00,2024-01-05 12:11:05+00:00,665.0,3 days 00:00:00,259200.0
64,2024-01-05 12:21:05+00:00,2024-01-05 13:09:08+00:00,2883.0,3 days 00:21:05,260465.0
65,2024-01-05 13:10:43+00:00,2024-01-05 13:43:16+00:00,1953.0,3 days 01:10:43,263443.0
66,2024-01-05 13:51:43+00:00,2024-01-05 15:18:48+00:00,5225.0,3 days 01:51:43,265903.0
67,2024-01-05 15:27:37+00:00,2024-01-05 16:53:57+00:00,5180.0,3 days 03:27:37,271657.0
68,2024-01-05 17:01:22+00:00,2024-01-05 18:33:22+00:00,5520.0,3 days 05:01:22,277282.0
69,2024-01-05 18:35:14+00:00,2024-01-05 21:09:15+00:00,9241.0,3 days 06:35:14,282914.0
70,2024-01-05 21:10:20+00:00,2024-01-05 22:42:40+00:00,5540.0,3 days 09:10:20,292220.0
71,2024-01-05 22:44:07+00:00,2024-01-05 23:18:02+00:00,2035.0,3 days 10:44:07,297847.0
72,2024-01-05 23:26:29+00:00,2024-01-06 00:15:00+00:00,2911.0,3 days 11:26:29,300389.0
73,2024-01-06 00:16:53+00:00,2024-01-06 00:48:21+00:00,1888.0,3 days 12:16:53,303413.0
74,2024-01-06 00:57:49+00:00,2024-01-06 02:24:18+00:00,5189.0,3 days 12:57:49,305869.0
75,2024-01-06 02:34:10+00:00,2024-01-06 03:58:41+00:00,5071.0,3 days 14:34:10,311650.0
76,2024-01-06 04:07:29+00:00,2024-01-06 05:33:13+00:00,5144.0,3 days 16:07:29,317249.0
77,2024-01-06 05:36:15+00:00,2024-01-06 05:38:48+00:00,153.0,3 days 17:36:15,322575.0
78,2024-01-06 05:41:25+00:00,2024-01-06 08:47:55+00:00,11190.0,3 days 17:41:25,322885.0
79,2024-01-06 08:48:31+00:00,2024-01-06 10:21:34+00:00,5583.0,3 days 20:48:31,334111.0
80,2024-01-06 10:22:02+00:00,2024-01-06 11:54:36+00:00,5554.0,3 days 22:22:02,339722.0
81,2024-01-06 12:04:33+00:00,2024-01-06 13:29:55+00:00,5122.0,4 days 00:04:33,345873.0
82,2024-01-06 13:39:35+00:00,2024-01-06 15:04:57+00:00,5122.0,4 days 01:39:35,351575.0
83,2024-01-06 15:13:30+00:00,2024-01-06 16:37:51+00:00,5061.0,4 days 03:13:30,357210.0
84,2024-01-06 16:47:31+00:00,2024-01-06 18:13:02+00:00,5131.0,4 days 04:47:31,362851.0
85,2024-01-06 18:20:01+00:00,2024-01-06 19:48:07+00:00,5286.0,4 days 06:20:01,368401.0
86,2024-01-06 19:49:45+00:00,2024-01-06 19:53:18+00:00,213.0,4 days 07:49:45,373785.0
87,2024-01-06 19:54:46+00:00,2024-01-06 21:26:53+00:00,5527.0,4 days 07:54:46,374086.0
88,2024-01-06 21:28:19+00:00,2024-01-06 22:59:50+00:00,5491.0,4 days 09:28:19,379699.0
89,2024-01-06 23:00:38+00:00,2024-01-07 00:35:12+00:00,5674.0,4 days 11:00:38,385238.0
90,2024-01-07 00:44:53+00:00,2024-01-07 02:10:20+00:00,5127.0,4 days 12:44:53,391493.0
91,2024-01-07 02:20:16+00:00,2024-01-07 03:09:06+00:00,2930.0,4 days 14:20:16,397216.0
92,2024-01-07 03:10:05+00:00,2024-01-07 03:44:08+00:00,2043.0,4 days 15:10:05,400205.0
93,2024-01-07 03:53:47+00:00,2024-01-07 04:42:27+00:00,2920.0,4 days 15:53:47,402827.0
94,2024-01-07 04:43:51+00:00,2024-01-07 05:17:31+00:00,2020.0,4 days 16:43:51,405831.0
95,2024-01-07 05:26:07+00:00,2024-01-07 06:52:36+00:00,5189.0,4 days 17:26:07,408367.0
96,2024-01-07 07:00:56+00:00,2024-01-07 08:32:15+00:00,5479.0,4 days 19:00:56,414056.0
97,2024-01-07 08:34:32+00:00,2024-01-07 10:05:07+00:00,5435.0,4 days 20:34:32,419672.0
98,2024-01-07 10:06:57+00:00,2024-01-07 11:40:31+00:00,5614.0,4 days 22:06:57,425217.0
99,2024-01-07 11:50:21+00:00,2024-01-07 12:00:00+00:00,579.0,4 days 23:50:21,431421.0
100,2024-01-07 12:00:00+00:00,2024-01-07 13:15:34+00:00,4534.0,5 days 00:00:00,432000.0
101,2024-01-07 13:26:25+00:00,2024-01-07 14:15:22+00:00,2937.0,5 days 01:26:25,437185.0
102,2024-01-07 14:16:10+00:00,2024-01-07 14:49:46+00:00,2016.0,5 days 02:16:10,440170.0
103,2024-01-07 14:59:39+00:00,2024-01-07 15:48:15+00:00,2916.0,5 days 02:59:39,442779.0
104,2024-01-07 15:50:04+00:00,2024-01-07 16:22:44+00:00,1960.0,5 days 03:50:04,445804.0
105,2024-01-07 16:32:09+00:00,2024-01-07 17:57:19+00:00,5110.0,5 days 04:32:09,448329.0
106,2024-01-07 18:07:00+00:00,2024-01-07 19:31:43+00:00,5083.0,5 days 06:07:00,454020.0
107,2024-01-07 19:40:40+00:00,2024-01-07 21:10:27+00:00,5387.0,5 days 07:40:40,459640.0
108,2024-01-07 21:13:11+00:00,2024-01-07 22:47:22+00:00,5651.0,5 days 09:13:11,465191.0
109,2024-01-07 22:56:01+00:00,2024-01-08 01:22:05+00:00,8764.0,5 days 10:56:01,471361.0
110,2024-01-08 01:22:07+00:00,2024-01-08 02:54:24+00:00,5537.0,5 days 13:22:07,480127.0
111,2024-01-08 02:56:08+00:00,2024-01-08 03:28:47+00:00,1959.0,5 days 14:56:08,485768.0
112,2024-01-08 03:38:20+00:00,2024-01-08 05:03:36+00:00,5116.0,5 days 15:38:20,488300.0
113,2024-01-08 05:12:59+00:00,2024-01-08 06:02:01+00:00,2942.0,5 days 17:12:59,493979.0
114,2024-01-08 06:03:53+00:00,2024-01-08 06:37:10+00:00,1997.0,5 days 18:03:53,497033.0
115,2024-01-08 06:46:42+00:00,2024-01-08 08:15:49+00:00,5347.0,5 days 18:46:42,499602.0
116,2024-01-08 08:19:21+00:00,2024-01-08 09:46:25+00:00,5224.0,5 days 20:19:21,505161.0
117,2024-01-08 09:47:17+00:00,2024-01-08 11:26:12+00:00,5935.0,5 days 21:47:17,510437.0
118,2024-01-08 11:26:14+00:00,2024-01-08 12:00:00+00:00,2026.0,5 days 23:26:14,516374.0
